derivative_threshold,integration_threshold,leakage_factor,iir_window,voltage,std_dev,rmse,num_snapshots
0.001,0.2,0.9,8,0.9440349850314427,0.016486514360358657,0.007619763968557347,2
0.005,0.2,0.95,8,0.9440349850314427,0.016486514360358657,0.007619763968557347,3
0.02,0.05,0.8,4,0.9587374118495396,0.004149906636914471,0.007839078249539666,1
0.05,0.1,0.9,4,0.9451662142067225,0.07276077485940616,0.008430618006722512,2
0.05,0.2,0.95,4,0.9451662142067225,0.07276077485940616,0.008430618006722512,2
0.05,0.1,0.95,8,0.9281657614064286,0.07276227707377829,0.008576294993571376,2
0.01,0.2,0.95,8,0.9425393971787915,0.016481951250199665,0.009039559621208393,3
0.05,0.01,0.99,8,0.9425393971787915,0.016481951250199665,0.009039559621208393,1
0.05,0.05,0.99,8,0.9425393971787915,0.016481951250199665,0.009039559621208393,1
0.005,0.05,0.7,4,0.939997674165366,0.01243427966446834,0.00930780783463414,1
0.05,0.05,0.95,8,0.93835268094417,0.018929435211485265,0.009355907455830037,1
0.005,0.2,0.9,4,0.9419263108867467,0.016486514360358657,0.009728438113253302,2
0.005,0.2,0.95,4,0.9419263108867467,0.016486514360358657,0.009728438113253302,2
0.01,0.2,0.95,4,0.9419263108867467,0.016486514360358657,0.009728438113253302,2
0.05,0.05,0.99,4,0.9419263108867467,0.016486514360358657,0.009728438113253302,2
0.05,0.1,0.99,4,0.9419263108867467,0.016486514360358657,0.009728438113253302,2
0.005,0.5,0.99,8,0.9408276882043332,0.01647780594646048,0.010662626595666858,3
0.01,0.5,0.99,8,0.9408276882043332,0.01647780594646048,0.010662626595666858,3
0.02,0.5,0.99,8,0.9408276882043332,0.01647780594646048,0.010662626595666858,3
0.05,0.1,0.99,8,0.9408276882043332,0.01647780594646048,0.010662626595666858,1
0.005,0.2,0.95,32,0.6301578945496155,0.2995406165642226,0.010704166949615512,4
0.005,0.1,0.9,32,0.904034054305596,0.21793288773860003,0.011080853294404003,1
0.02,0.05,0.95,8,0.9363545025076229,0.018918065067673653,0.011271865892377164,1
0.02,0.05,0.9,16,0.9244615131193847,0.07275965356783944,0.012269255480615193,2
0.005,0.05,0.8,4,0.9358651188871547,0.012426738226664827,0.013389555112845342,1
0.005,0.2,0.8,4,0.9377337145156623,0.016481951250199665,0.013845242284337589,2
0.01,0.2,0.8,4,0.9377337145156623,0.016481951250199665,0.013845242284337589,2
0.01,0.2,0.9,4,0.9377337145156623,0.016481951250199665,0.013845242284337589,2
0.05,0.2,0.99,4,0.9377337145156623,0.016481951250199665,0.013845242284337589,2
0.001,0.1,0.95,16,0.9225247953273438,0.07276077485940616,0.014210800872656248,2
0.005,0.01,0.9,32,0.9324069966121552,0.018929435211485265,0.015301591787844848,1
0.01,0.1,0.95,32,0.8204232852632684,0.24392479091357486,0.01548161293673167,2
0.01,0.01,0.9,32,0.9338840266609749,0.012449965280067365,0.015660051139025022,1
0.001,0.05,0.95,32,0.9317639987609344,0.018918065067673653,0.01586236963906562,1
0.005,0.1,0.99,32,0.9332972149403612,0.012445431055783112,0.01617611365963878,1
0.005,0.1,0.99,16,0.9204599930158333,0.07276227707377829,0.01628206338416671,2
0.02,0.1,0.8,8,0.9204293820410496,0.072769670019679,0.016344193358950432,2
0.05,0.05,0.9,8,0.9204293820410496,0.072769670019679,0.016344193358950432,3
0.02,0.1,0.9,32,0.5478414344809325,0.31565411269033555,0.0163722250809325,3
0.001,0.05,0.9,32,0.9327260828416633,0.012443726138019152,0.016705665558336746,1
0.02,0.01,0.95,32,0.9327260828416633,0.012443726138019152,0.016705665558336746,1
0.005,0.05,0.95,32,0.9321642884172008,0.012443397942842833,0.017246395182799246,1
0.001,0.05,0.99,32,0.9234772475823058,0.037406244518992215,0.017803930417694236,1
0.01,0.1,0.99,32,0.931568703527433,0.012442190238757894,0.017818948872566964,1
0.02,0.05,0.7,32,0.5604786387159033,0.3208110547520889,0.018833175115903322,3
0.001,0.05,0.8,32,0.9315527090870502,0.004149906636914471,0.019345624512949744,1
0.001,0.5,0.7,4,0.9321378326875498,0.01647780594646048,0.01935248211245022,3
0.001,0.5,0.8,4,0.9321378326875498,0.01647780594646048,0.01935248211245022,3
0.001,0.5,0.9,4,0.9321378326875498,0.01647780594646048,0.01935248211245022,3
0.001,0.5,0.95,4,0.9321378326875498,0.01647780594646048,0.01935248211245022,3
0.001,0.5,0.99,4,0.9321378326875498,0.01647780594646048,0.01935248211245022,3
0.005,0.2,0.7,4,0.9321378326875498,0.01647780594646048,0.01935248211245022,2
0.005,0.5,0.99,4,0.9321378326875498,0.01647780594646048,0.01935248211245022,3
0.01,0.2,0.7,4,0.9321378326875498,0.01647780594646048,0.01935248211245022,2
